GISJOIN,Date of Post,Date of Incident,Time of Post,Time of Incident,Area,Abscissa (x),Ordinate (y),Khodor,Ahmad,GS,Folder Source,URL Source,,Platform,Format
,2024-02-11,2024-02-11,18:24:00,6:24:00 PM,South Lebanon,,,Yes,,,20240211_1824_ShaykhSulaiman,https://twitter.com/ShaykhSulaiman/status/1756715765477126462,Live,Twitter,mp4
,2024-03-02,2024-03-02,16:45:00,16:45:00,Kfar Kila,,,Yes,,,20240302_1645_Michelle3id,https://twitter.com/Michelle3id/status/1763938696791773292,Live,Twitter,jpg
,2024-03-04,2024-03-04,,14:00:00,Markaba,,,Yes,,,20240304_france24,https://www.france24.com/en/live-news/20240605-israeli-white-phosphorus-stalks-south-lebanon-rights-groups,Live,france24,jpg
,2024-03-04,2024-03-04,14:41:00,14:41:00,Houla,,,Yes,,,20240304_1441_galpalpheebs,https://twitter.com/galpalpheebs/status/1764632291974774855,Live,Twitter,jpg
,2024-04-17,2024-04-17,23:39:00,23:39:00,Al Khiam,,,Yes,,,20240417_2339_galpalpheebs,https://twitter.com/galpalpheebs/status/1780697661936640460,Live,Twitter,mp4
,2024-04-18,2024-04-18,2:47:00,2:47:00,Al Khiam,,,Yes,,,20240418_0247_fouadkhreiss,https://twitter.com/fouadkhreiss/status/1780729781040119877,Live,Twitter,mp4
,2024-04-18,2024-04-18,2:47:00,2:47:00,Al Khiam,,,Yes,,,20240418_0247_fouadkhreiss,https://twitter.com/fouadkhreiss/status/1780729781040119877,Live,Twitter,mp4
,2024-04-18,2024-04-18,1:54:00,1:54:00,Al Khiam,,,Yes,,,20240418_0154_Miro_313,https://twitter.com/Miro_313/status/1780731625237553514,Live,Twitter,mp4
,2024-04-18,2024-04-18,3:11:00,3:11:00,Al Khiam,,,Yes,,,20240418_0311_sahouraxo,https://twitter.com/sahouraxo/status/1780751028985417735,Live,Twitter,jpg
,2024-04-25,2024-04-25,16:23:00,16:23:00,Yaroun,,,Yes,,,20240425_1623_galpalpheebs_1,https://twitter.com/galpalpheebs/status/1783487099041103956,Live,Twitter,jpg
,2024-04-25,2024-04-25,16:23:00,16:23:00,Yaroun,,,Yes,,,20240425_1623_galpalpheebs_2,,,,
,2024-04-25,2024-04-25,16:23:00,16:23:00,Yaroun,,,Yes,,,"20240425_1623_galpalpheebs_3
20240425_1623_galpalpheebs_4
20240425_1623_galpalpheebs_5",,,,
,2024-05-08,2024-05-08,,14:00:00,Blida,,,Yes,,,20240508 Blida - Aitroun,Green Southerners,Live,Green Southerners,mp4
,2024-05-08,2024-05-08,,14:00:00,Aitaroun,,,Yes,,,20240508 Blida - Aitroun,,,,
,2024-05-08,2024-05-08,,14:00:00,Blida,,,Yes,,,20240508 Blida- Talousa,Green Southerners,Live,Green Southerners,mp4
,2024-05-08,2024-05-08,,14:00:00,Talloussa,,,Yes,,,20240508 Blida- Talousa,Green Southerners,Live,Green Southerners,mp4
,2024-05-13,2024-05-13,,15:00:00,Meiss El Jabal,,,Yes,,,20240513 Meiss Ej Jabal,,Live,,mp4
,2024-05-13,2024-05-13,,15:00:00,Meiss El Jabal,,,Yes,,,20240513 Meiss Ej Jabal (2),,Live,,mp4
,2024-05-13,2024-05-13,,15:00:00,Meiss El Jabal,,,Yes,,,"20240513 Meiss Ej Jabal (4)
20240513 Meiss Ej Jabal (5)",,Live,,mp4
,2024-05-16,2024-05-16,,15:00:00,Chebaa,,,Yes,,,20240516 WP Chabaa شبعا احراج,Green Southerners,Live,Green Southerners,mp4
,2024-05-16,2024-05-16,,15:00:00,Chebaa,,,Yes,,,20240516 WP Chabaa شبعا احراج,Green Southerners,Live,Green Southerners,mp4
,2024-05-21,2024-05-21,13:36:00,13:36:00,Al Khiam,,,Yes,,,20240521_1336_fouadkhreiss,https://twitter.com/fouadkhreiss/status/1792867060390707546,Live,Twitter,jpg
,2024-05-28,2024-05-28,19:26:00,19:26:00,Maroun Er Ras,,,Yes,,,20240528_1926_fouadkhreiss,https://twitter.com/fouadkhreiss/status/1795491730940400092,Not Live,Twitter,mp4
,2024-05-28,2024-05-28,15:47:00,15:47:00,Maroun Er Ras,,,Yes,,,20240528_1547_fouadkhreiss,https://twitter.com/fouadkhreiss/status/1795436686534676925,Not Live,Twitter,mp4
,2024-05-28,2024-05-28,23:18:00,23:18:00,Al Khiam,,,Yes,,,20240528_2318_fouadkhreiss,https://twitter.com/fouadkhreiss/status/1795550218747838907,Live,Twitter,mp4
,2024-06-02,2024-06-02,17:47:00,17:47:00,Al Khiam,,,Yes,,,20240602_1747_galpalpheebs,https://twitter.com/galpalpheebs/status/1797278784434933848,Live,Twitter,jpg
,2024-06-02,2024-06-02,19:00:00,19:00:00,Aadaisse,,,Yes,,,20240602_2114_bintjbeilnews,https://twitter.com/bintjbeilnews/status/1797331038743490563,Not Live,Twitter,mp4
,2024-06-02,2024-06-02,,6:00:00 PM,Aadaisse,,,Yes,,,"20240602 WP Audeiseh العديسة 
20240602 WP Audeiseh العديسة(1)
20240602 WP Audeiseh العديسة(2)
20240602 WP Audeiseh العديسة",Green Southerners,Not Live,Green Southerners,jpg
,2024-06-03,2024-06-03,,6:00:00 PM,Aadaisse,,,Yes,,,20240603_WStyyp85318,https://twitter.com/WStyyp85318/status/1798820668731236407,Not Live,Twitter,jpg
,2024-06-03,2024-06-03,,23:00:00,Deir Mimass,,,Yes,,,خراج بلدة ديرميماس، محلة القصيبة والحرف 20240603 Deir Mimas,Green Southerners,Live,Green Southerners,mp4
,2024-06-04,2024-06-04,2:01:00,2:01:00,Kfar Kila,,,Yes,,,20240604_0201_PalinfoAr,https://twitter.com/PalinfoAr/status/1797765516725252197,Live,Twitter,mp4
,2024-06-04,2024-06-04,16:24:00,4:24:00 PM,Kfar Chouba,,,Yes,,,20240604_1624_galpalpheebs,https://twitter.com/galpalpheebs/status/1797982730388664678,Live,Twitter,mp4
,2024-06-04,2024-06-04,16:34:00,4:34:00 PM,Markaba,,,Yes,,,20240604_1624_galpalpheebs,https://twitter.com/galpalpheebs/status/1797985340399271947,Live,Twitter,jpg
,2024-06-04,2024-06-04,18:26:00,6:26:00 PM,Halta,,,Yes,,,20240604_1826_galpalpheebs,https://twitter.com/galpalpheebs/status/1798013494610248017,Live,Twitter,mp4
,2024-06-04,2024-06-04,18:26:00,6:26:00 PM,Halta,,,Yes,,,20240604_1826_galpalpheebs,https://twitter.com/galpalpheebs/status/1798013494610248017,Live,Twitter,mp4
,2024-06-04,2024-06-04,,12:00:00,Markaba,,,Yes,,,20240604 WP Markaba مركبا,Green Southerners,Not Live,Green Southerners,mp4
,2024-06-04,2024-06-04,,15:00:00,Markaba,,,Yes,,,20240604 Markaba مركبا,Green Southerners,Not Live,Green Southerners,mp4
,2024-06-04,2024-06-04,,2:00:00 PM,Aitaroun,,,Yes,,,20240605_1411_galpalpheebs,,Live,Twitter,jpg
,2024-06-05,2024-06-05,2:11:00 PM,2:11:00 PM,Aitaroun,,,Yes,,,20240605_1411_galpalpheebs,https://twitter.com/galpalpheebs/status/1798311648572354901,Live,Twitter,jpg
,2024-06-05,2024-06-05,2:11:00 PM,2:11:00 PM,Aitaroun,,,Yes,,,20240605_1411_galpalpheebs_1,,Live,Twitter,jpg
,2024-06-05,2024-06-05,14:29:00,2:29:00 PM,Kfar Chouba,,,Yes,,,20240605_1429_qudsn,https://twitter.com/qudsn/status/1798316221957619838,Live,Twitter,jpg
,2024-06-05,2024-06-05,14:29:00,2:29:00 PM,Kfar Chouba,,,Yes,,,20240605_1429_qudsn,https://twitter.com/qudsn/status/1798316221957619838,Live,Twitter,jpg
,2024-06-05,2024-06-05,16:46:00,4:46:00 PM,Markaba,,,Yes,,,20240605_1646_fouadkhreiss,https://twitter.com/fouadkhreiss/status/1798350563278803298,Live,Twitter,mp4
,2024-06-05,2024-06-05,16:46:00,4:46:00 PM,Markaba,,,Yes,,,20240605_1646_fouadkhreiss,https://twitter.com/fouadkhreiss/status/1798350563278803298,Live,Twitter,mp4
